base_question,folded_questions,query
How many people of ethnicity <ARG-ETHNICITY><0> have condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> of ethnicity <ARG-ETHNICITY><0> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT pe1.person_id) FROM ((<SCHEMA>.person pe1 JOIN <ETHNICITY-TEMPLATE><ARG-ETHNICITY><0> ON pe1.ethnicity_concept_id=concept_id) JOIN (<CONDITION-TEMPLATE><ARG-CONDITION><0> JOIN <SCHEMA>.condition_occurrence con1 ON concept_id=con1.condition_concept_id) ON pe1.person_id=con1.person_id);
How many people of ethnicity <ARG-ETHNICITY><0> have condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> are <ARG-ETHNICITY><0> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT pe1.person_id) FROM ((<SCHEMA>.person pe1 JOIN <ETHNICITY-TEMPLATE><ARG-ETHNICITY><0> ON pe1.ethnicity_concept_id=concept_id) JOIN (<CONDITION-TEMPLATE><ARG-CONDITION><0> JOIN <SCHEMA>.condition_occurrence con1 ON concept_id=con1.condition_concept_id) ON pe1.person_id=con1.person_id);
How many people of ethnicity <ARG-ETHNICITY><0> have condition <ARG-CONDITION><0>?,<SYN-ARG-number/count/counts> of <ARG-ETHNICITY><0> ethnicity <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT pe1.person_id) FROM ((<SCHEMA>.person pe1 JOIN <ETHNICITY-TEMPLATE><ARG-ETHNICITY><0> ON pe1.ethnicity_concept_id=concept_id) JOIN (<CONDITION-TEMPLATE><ARG-CONDITION><0> JOIN <SCHEMA>.condition_occurrence con1 ON concept_id=con1.condition_concept_id) ON pe1.person_id=con1.person_id);
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> in the year <ARG-TIMEYEARS><0>?,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,"<SYN-ARG-calculate/tell me> in the <ARG-TIMEYEARS><0>, what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0>.",SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,"In the <ARG-TIMEYEARS><0>, what is the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0>?",SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,"<SYN-ARG-calculate/tell me> in the year <ARG-TIMEYEARS><0>, how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <ARG-DRUG><0>.",SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> <SYN-ARG-prescription/administration> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0> <SYN-ARG-prescribed/administered> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were taking drug <ARG-DRUG><0> in year <ARG-TIMEYEARS><0>.,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0> <SYN-ARG-prescribed/administered> in the year <ARG-TIMEYEARS><0>.,SELECT COUNT( DISTINCT dr1.person_id) FROM (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) WHERE DATE_PART_YEAR(drug_exposure_start_date) <= <ARG-TIMEYEARS><0> and DATE_PART_YEAR(drug_exposure_end_date ) >= <ARG-TIMEYEARS><0>;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> <SYN-ARG-prescription/administration> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>?,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> <SYN-ARG-prescription/administration> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/tell me> <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> after the diagnosis of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/tell me> how many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> after the <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND con1.condition_start_date < dr1.drug_exposure_start_date;
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> <SYN-ARG-prescription/administration> for more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,How many <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <SYN-ARG-conditions/diseases/diagnoses/illnesses/infections/disorders/problems> <ARG-CONDITION><0>?,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> got <ARG-DRUG><0> <SYN-ARG-prescription/administration> for more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/tell me> <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> with <ARG-DRUG><0> <SYN-ARG-prescribed/administered> for more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
How many people were treated by drug <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after being diagnosed of Condition <ARG-CONDITION><0>?,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> <SYN-ARG-taking/take/are treated with/are on/under/receive/have treatment with/took/were treated with/were treated by/were on/were under/had treatment with/had received> <SYN-ARG-drugs/drug/medicine/medical drugs/medical drug/medications/medication/medicaments/medicament> <ARG-DRUG><0> more than <ARG-TIMEDAYS><0> days after the <SYN-ARG-diagnosis/confirmation/detection/verification> of <ARG-CONDITION><0>.,"SELECT COUNT( DISTINCT con1.person_id ) FROM (<SCHEMA>.condition_occurrence con1 JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON con1.condition_concept_id=concept_id) JOIN (<SCHEMA>.drug_exposure dr1 JOIN <DRUG-TEMPLATE><ARG-DRUG><0> ON dr1.drug_concept_id=concept_id) ON con1.person_id = dr1.person_id AND DATEDIFF(day, con1.condition_start_date, dr1.drug_exposure_start_date) > <ARG-TIMEDAYS><0>;"
Number of <ARG-GENDER><O> patients with <ARG-CONDITION><O>.,<SYN-ARG-number/count/counts> of <ARG-GENDER><0> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT pe1.person_id ) FROM ( (<SCHEMA>.person JOIN <GENDER-TEMPLATE><ARG-GENDER><0> ON gender_concept_id=concept_id) pe1 JOIN (<SCHEMA>.condition_occurrence JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON condition_concept_id=concept_id) pe2 ON pe1.person_id=pe2.person_id) ;
Number of <ARG-GENDER><O> patients with <ARG-CONDITION><O>.,<SYN-ARG-calculate/what's/what is/tell me> the <SYN-ARG-number/count/counts> of <SYN-ARG-patients/people/persons/individuals/subjects> of <ARG-GENDER><0> <SYN-ARG-gender/sex> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>.,SELECT COUNT( DISTINCT pe1.person_id ) FROM ( (<SCHEMA>.person JOIN <GENDER-TEMPLATE><ARG-GENDER><0> ON gender_concept_id=concept_id) pe1 JOIN (<SCHEMA>.condition_occurrence JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON condition_concept_id=concept_id) pe2 ON pe1.person_id=pe2.person_id) ;
Number of <ARG-GENDER><O> patients with <ARG-CONDITION><O>.,How many <SYN-ARG-patients/people/persons/individuals/subjects> are of <ARG-GENDER><0> <SYN-ARG-gender/sex> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>?,SELECT COUNT( DISTINCT pe1.person_id ) FROM ( (<SCHEMA>.person JOIN <GENDER-TEMPLATE><ARG-GENDER><0> ON gender_concept_id=concept_id) pe1 JOIN (<SCHEMA>.condition_occurrence JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON condition_concept_id=concept_id) pe2 ON pe1.person_id=pe2.person_id) ;
Number of <ARG-GENDER><O> patients with <ARG-CONDITION><O>.,How many <SYN-ARG-patients/people/persons/individuals/subjects> are of <SYN-ARG-gender/sex> <ARG-GENDER><0> <SYN-ARG-are diagnosed with/were diagnosed with/have condition/had condition/have/had/suffer from/suffered from/are with/were with/have a diagnosis of/had a diagnosis of> <ARG-CONDITION><0>?,SELECT COUNT( DISTINCT pe1.person_id ) FROM ( (<SCHEMA>.person JOIN <GENDER-TEMPLATE><ARG-GENDER><0> ON gender_concept_id=concept_id) pe1 JOIN (<SCHEMA>.condition_occurrence JOIN <CONDITION-TEMPLATE><ARG-CONDITION><0> ON condition_concept_id=concept_id) pe2 ON pe1.person_id=pe2.person_id) ;
